ident_men;ident_ind;pond_indc;sexe;age;lien_01;typolog;handicap;cs42;cs24;situa;statut;typemploi;temptrav;ddipl;pond_jour;nbkm_tot_velo_modprinc;nbkm_vae_velo_modprinc;nbkm_nonvae_velo_modprinc;nbkm_tot_velo_modannexe;nbkm_vae_velo_modannexe;nbkm_nonvae_velo_modannexe;pond_menc;cs42pr;cs24pr;dipdetpr;dipdetcj;stoc;stocp;quartile_rev;decile_rev;quartile_rev_uc;decile_rev_uc;dep_res;nuts_res;reg_res;tuu2017_res;catcom_aa_res;nb_velos;pond_velo1;kvelocat1;kveloutil_flag1;kveloutil_a1;kveloutil_b1;kveloutil_c1;kveloutil_d1;kvkm1sem1;pond_velo2;kvelocat2;kveloutil_flag2;kveloutil_a2;kveloutil_b2;kveloutil_c2;kveloutil_d2;kvkm1sem2;pond_velo3;kvelocat3;kveloutil_flag3;kveloutil_a3;kveloutil_b3;kveloutil_c3;kveloutil_d3;kvkm1sem3;pond_velo4;kvelocat4;kveloutil_flag4;kveloutil_a4;kveloutil_b4;kveloutil_c4;kveloutil_d4;kvkm1sem4;pond_velo5;kvelocat5;kveloutil_flag5;kveloutil_a5;kveloutil_b5;kveloutil_c5;kveloutil_d5;kvkm1sem5;conduit_moins10km_slt;conduit_moins20km;nb_trip_voit;mdisttot_fin1;voiture_passager1;mdisttot_fin2;voiture_passager2;mdisttot_fin3;voiture_passager3;mdisttot_fin4;voiture_passager4;mdisttot_fin5;voiture_passager5;mdisttot_fin6;voiture_passager6;mdisttot_fin7;voiture_passager7;mdisttot_fin8;voiture_passager8;mdisttot_fin9;voiture_passager9;mdisttot_fin10;voiture_passager10;mdisttot_fin11;voiture_passager11;mdisttot_fin12;voiture_passager12;mdisttot_fin13;voiture_passager13;mdisttot_fin14;voiture_passager14;mdisttot_fin15;voiture_passager15;mdisttot_fin16;voiture_passager16;mdisttot_fin17;voiture_passager17;mdisttot_fin18;voiture_passager18;tot_dist_voit;nbkm_walking_lower;nbkm_walking_upper
1,1E+12;1,1E+14;2384.4426;1;57;0;1;2;77;76;7;;;;7;13798.344324;0;0;0;0;0;0;2384.4426;77;76;71;;4;;1;2;1;3;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;.6000000238418579;.6000000238418579
1,1E+12;1,1E+14;5524.8784;2;34;1;1;2;85;82;6;;;;7;33846.660837;0;0;0;0;0;0;1381.2196;53;51;52;71;4;;2;4;1;1;78;FR10;Ile-de-France;8;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;4
1,1E+12;1,1E+14;4024.4868;2;32;0;1;2;43;41;1;3;6;1;3;21599.095362;0;0;0;0;0;0;4024.4868;43;41;34;;4;;3;7;4;8;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;5;0;9.6;0;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.6;0;0
1,1E+12;1,1E+14;4055.9126;2;49;0;1;2;34;32;1;1;6;1;1;24785.855667;0;0;0;0;0;0;1013.9781;34;32;21;15;2;1;3;7;2;3;78;FR10;Ile-de-France;8;20;4;1013.9781;2;1;0;1;0;0;;1013.9781;2;1;0;1;0;0;;1013.9781;1;1;0;1;0;1;5;1013.9781;1;1;0;1;0;1;;;;;;;;;;1;1;1;7.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.9000001;0;0
1,1E+12;1,1E+14;2639.0791;2;60;1;1;1;52;51;1;1;6;1;7;20202.813422;0;0;0;0;0;0;879.69305;37;36;32;71;1;1;3;7;2;5;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;7.6;0;7.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.2;0;0
1,1E+12;1,1E+14;5145.3691;2;49;0;1;2;48;48;1;3;6;1;5;26707.56419;0;0;0;0;0;0;1715.123;48;48;51;52;1;1;4;9;4;8;78;FR10;Ile-de-France;4;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;6;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;0;0
1,1E+12;1,1E+14;7732.6763;1;14;2;1;2;;;;;;;;;0;0;0;0;0;0;1933.1691;56;56;45;;4;;2;5;1;2;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;2185.761;2;55;0;1;2;56;56;1;3;6;1;7;14595.081354;0;0;0;0;0;0;2185.761;56;56;71;;4;;1;2;2;4;78;FR10;Ile-de-France;8;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;.6000000238418579;.6000000238418579
1,1E+12;1,1E+14;5972.9297;2;49;0;1;2;42;41;1;1;6;1;1;39269.24096;0;0;0;0;0;0;1990.9766;38;36;21;22;4;;4;9;3;8;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;5444.4258;2;36;0;1;2;54;54;1;3;6;2;3;35794.573776;0;0;0;0;0;0;1361.1064;54;54;32;42;1;1;4;9;3;7;78;FR10;Ile-de-France;8;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;1184.756;2;88;0;1;1;86;82;5;;;;7;3065.58174;0;0;0;0;0;0;1184.756;86;82;71;;4;;1;1;1;2;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1.200000047683716;1.200000047683716
1,1E+12;1,1E+14;13345.981;1;24;2;1;2;37;36;1;3;6;1;3;162262.12393;0;0;0;0;0;0;3336.4954;37;36;17;32;1;1;4;9;3;6;78;FR10;Ile-de-France;8;12;3;3336.4954;1;1;1;0;0;0;0;3336.4954;1;1;1;0;0;0;0;3336.4954;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;1;1;3;1;0;1;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;0;0
1,1E+12;1,1E+14;3619.7939;2;68;0;1;2;46;46;5;7;;;6;17907.494344;0;0;0;0;0;0;1809.897;35;32;42;60;4;;4;10;4;10;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1
1,1E+12;1,1E+14;2827.9795;2;49;0;1;2;52;51;4;;;;6;6709.3741659;0;0;0;0;0;0;2827.9795;52;51;60;;4;;1;1;1;2;78;FR10;Ile-de-France;8;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;0
1,1E+12;1,1E+14;2703.7722;2;52;0;1;1;37;36;1;3;6;1;4;20521.09169;0;0;0;0;0;0;2703.7722;37;36;43;;1;1;3;7;4;9;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;0;9;0;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;0;0
1,1E+12;1,1E+14;11443.498;2;44;1;1;2;38;36;1;3;6;1;1;68106.89778299999;0;0;0;0;0;0;2288.6997;38;36;14;14;1;1;4;10;4;9;78;FR10;Ile-de-France;8;12;5;3661.9194;1;1;1;0;0;0;0;3661.9194;1;1;1;1;0;0;;3661.9194;1;1;0;1;0;0;;3661.9194;1;1;0;1;0;0;;3661.9194;1;1;0;1;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;3881.3516;2;82;0;1;2;77;76;5;;;;7;;0;0;0;0;0;0;1940.6758;64;61;71;70;3;1;1;2;1;1;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;4042.1133;2;30;0;1;2;37;36;1;3;6;1;3;31391.108611;0;0;0;0;0;0;2021.0566;38;36;14;32;1;1;4;10;4;9;78;FR10;Ile-de-France;8;20;1;2021.0566;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;15;1;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;0;0
